source,category,activity,confidence,last_updated,name,intention,first_seen,metadata,tor,rdns_parent,link,org,os,asn,rdns
,worm,,low,2019-05-16T10:02:40Z,SMB_SCANNER_HIGH,,2019-05-13T07:23:05Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,low,2019-05-16T08:17:01Z,SMB_SCANNER_HIGH,,2019-05-13T07:23:05Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,low,2019-05-16T07:30:57Z,SMB_SCANNER_HIGH,,2019-05-13T07:23:05Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,low,2019-05-15T07:27:15Z,SMB_SCANNER_HIGH,,2019-05-13T07:23:05Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,low,2019-05-15T04:48:23Z,SMB_SCANNER_HIGH,,2019-05-13T07:23:05Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,high,2019-05-13T07:23:29Z,EQUATIONGROUP_ETERNAL_MS17_010,malicious,2019-05-13T03:50:14Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,activity,,low,2019-05-13T07:23:19Z,SMB_SCANNER_LOW,,2019-05-13T03:49:50Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,high,2019-05-13T07:23:16Z,ETERNAL_MS17_010,malicious,2019-05-13T03:50:01Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,high,2019-05-13T03:50:14Z,EQUATIONGROUP_ETERNAL_MS17_010,malicious,2019-05-13T03:50:14Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,activity,,low,2019-05-13T03:50:04Z,SMB_SCANNER_LOW,,2019-05-13T03:49:50Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,high,2019-05-13T03:50:01Z,ETERNAL_MS17_010,malicious,2019-05-13T03:50:01Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,activity,,low,2019-05-09T09:04:26Z,SMB_SCANNER_LOW,,2019-05-09T09:04:26Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,high,2019-05-02T05:08:50Z,EQUATIONGROUP_ETERNAL_MS17_010,malicious,2019-05-02T05:08:50Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
